Running all tests
[Array] CopyOnAccessArray_cache_index_overflow.js .......... Fail
[Array] memop_lifetime_bug.js .......... Pass
[Array] memset.js .......... Fail
[Array] memset_invariant.js .......... Fail
[Array] memset_simd.js .......... Fail
[Array] memset2.js .......... Fail
[Array] memcopy.js .......... Fail
[Array] memcopy.js .......... Fail
[Array] memcopy_length_bug.js .......... Pass
[Array] memcopy_missing_values.js .......... Fail
[Array] memop_alias.js .......... Fail
[Array] memop_field.js .......... Fail
[Array] memop_slot.js .......... Fail
[Array] memop_bounds_check.js .......... Fail
[Array] bug4587739.js .......... Fail
[Array] bug8159763.js .......... Pass
[Array] Array_TypeConfusion_bugs.js .......... Fail
[TaggedIntegers] remBailout.js .......... Fail
[TaggedIntegers] comparison.js .......... Pass
[TaggedIntegers] addition.js .......... Pass
[TaggedIntegers] subtraction.js .......... Pass
[TaggedIntegers] div_min_int.js .......... Pass
[TaggedIntegers] multiplication.js .......... Pass
[TaggedIntegers] divide.js .......... Pass
[TaggedIntegers] and.js .......... Pass
[TaggedIntegers] or.js .......... Pass
[TaggedIntegers] xor.js .......... Pass
[TaggedIntegers] not.js .......... Pass
[TaggedIntegers] negate.js .......... Pass
[TaggedIntegers] signedshiftleft.js .......... Pass
[TaggedIntegers] signedshiftright.js .......... Pass
[TaggedIntegers] unsignedshiftright.js .......... Pass
[TaggedIntegers] modulus.js .......... Pass
[TaggedIntegers] loopbounds.js .......... Pass
[TaggedIntegers] not_1.js .......... Pass
[TaggedIntegers] shift_constants.js .......... Pass
[TaggedIntegers] loops.js .......... Pass
